NFT Name,Count,%Area,Perimeter,Major,Minor,Angle,Circularity,Integrated density,Skewness,Kurtosis
Fingerprint #2023,16,10.15030,852.50931,117.31429,44.10204,99.56502,0.26292,1490717.06250,-2.08842,3.32584
Fingerprint #2024,15,10.22280,970.10708,140.57902,39.99352,116.34670,0.24445,1603570.93333,-1.98836,3.15344
Fingerprint #2025,18,10.12290,887.45557,117.44750,39.15516,91.59784,0.26241,1323208.00000,-1.81015,2.65816
Fingerprint #2026,17,10.16370,970.72011,149.87291,37.01195,99.65500,0.23505,1406885.05882,-2.07291,3.48598
Fingerprint #2027,17,10.17000,949.85621,146.62349,41.66771,106.59718,0.15047,1406979.05882,-2.30766,4.20700
Fingerprint #2028,17,10.12500,830.49042,124.51620,41.86756,102.81680,0.27054,1399043.00000,-1.75767,2.57428
Fingerprint #2029,19,10.15290,781.77804,107.55578,31.46151,85.40712,0.30591,1256992.00000,-1.57889,1.96487
Fingerprint #2030,15,10.20070,984.13668,83.42543,33.49530,64.82091,0.42635,1601464.60000,-1.16416,0.87879
Fingerprint #2031,16,10.20070,937.29601,135.68857,35.52775,109.79784,0.26484,1500315.12500,-1.98438,2.94996
Fingerprint #2032,17,10.12260,909.69414,140.14390,39.73108,112.05995,0.17863,1400426.70588,-2.17419,3.72567
Fingerprint #2033,18,10.19480,828.06571,128.56608,42.30152,118.08985,0.28342,1331678.22222,-1.99257,3.25333
Fingerprint #2034,15,10.22250,1075.32947,139.27427,31.15300,109.04575,0.24971,1604022.13333,-1.60035,2.07818
Fingerprint #2035,20,10.16080,656.97450,107.66358,35.18942,99.49367,0.28451,1196566.85000,-1.80507,2.66442
Fingerprint #2036,26,10.11580,556.21253,131.96999,28.72667,116.06331,0.29134,915458.26923,-2.02075,3.34109
Fingerprint #2037,18,10.17380,811.55594,99.22446,35.76140,62.16942,0.35372,1329685.38889,-1.49218,1.71435
Fingerprint #2038,14,10.14410,1059.19881,135.65034,52.12889,95.37280,0.20643,1703840.50000,-2.12786,3.65661
Fingerprint #2039,26,10.13050,575.70432,100.30939,27.26515,109.84252,0.37675,916446.65385,-1.60969,2.15860
